timestamp,label,index,middle,ring,pinky,thumb
1781102230.093654,YES,100,100,100,100,100
1781102230.093654,YES,100,100,100,100,100
1781102230.0946467,YES,100,100,100,100,100
1781102230.0946467,YES,100,100,100,100,100
1781102230.0946467,YES,100,100,100,100,100
1781102230.0956469,YES,100,100,100,100,100
1781102230.0956469,YES,100,100,100,100,100
1781102230.0956469,YES,100,100,100,100,100
1781102230.0956469,YES,100,100,100,100,100
1781102230.0966463,YES,100,100,100,100,100
1781102230.0966463,YES,100,100,100,100,100
1781102230.0966463,YES,100,95,100,100,100
1781102230.097651,YES,95,89,100,100,100
1781102230.0986626,YES,95,88,100,100,100
1781102230.0986626,YES,100,89,100,100,100
1781102230.0996518,YES,100,91,100,100,100
1781102230.0996518,YES,100,92,100,100,100
1781102230.100665,YES,100,91,100,100,100
1781102230.100665,YES,100,91,100,100,100
1781102230.101668,YES,100,91,100,100,100
1781102230.101668,YES,97,91,100,100,100
1781102230.101668,YES,100,93,100,100,100
1781102230.1026793,YES,100,93,100,100,100
1781102230.1026793,YES,97,92,100,100,100
1781102230.1026793,YES,92,92,100,100,100
1781102253.723776,YES,100,100,100,100,100
1781102253.7247858,YES,100,98,100,100,100
1781102253.7247858,YES,100,89,100,100,100
1781102253.7247858,YES,100,82,100,100,100
1781102253.7247858,YES,100,74,100,100,100
1781102254.5327098,YES,85,71,100,100,100
1781102254.6136827,YES,95,75,100,100,100
1781102254.6959465,YES,100,81,100,100,100
1781102254.7755754,YES,100,86,100,100,100
1781102254.857026,YES,100,90,100,100,100
1781102254.9376128,YES,100,92,100,100,100
1781102255.0193083,YES,100,90,100,100,100
1781102255.0998585,YES,100,85,100,100,100
1781102255.1817532,YES,95,75,100,100,100
1781102256.233724,YES,85,74,100,100,100
1781102256.3150303,YES,90,80,100,100,100
1781102256.3961701,YES,95,86,100,100,100
1781102256.4769552,YES,97,90,100,100,100
1781102256.5582395,YES,100,92,100,100,100
1781102256.639665,YES,97,90,100,100,100
1781102256.7206945,YES,85,85,100,100,100
1781102256.802111,YES,70,75,100,100,100
1781102257.7734482,YES,92,73,100,100,100
1781102257.855554,YES,100,80,100,100,100
1781102257.9358163,YES,100,83,100,100,100
1781102258.0165632,YES,100,86,100,100,100
1781102258.09784,YES,100,89,100,100,100
1781102258.1793163,YES,100,88,100,100,100
1781102258.2601073,YES,100,84,100,100,100
1781102258.3416705,YES,100,75,100,100,100
1781102259.3939672,YES,95,72,100,100,100
1781102259.475393,YES,97,79,100,100,100
1781102259.556898,YES,100,84,100,100,100
1781102259.637058,YES,97,89,100,100,100
1781102259.7180238,YES,100,92,100,100,100
1781102259.7983296,YES,100,91,100,100,100
1781102259.880283,YES,97,86,100,100,100
1781102259.9608543,YES,87,77,100,100,100
1781102260.9328618,YES,85,70,100,100,100
1781102261.0145566,YES,92,76,100,100,100
1781102261.0955613,YES,100,83,100,100,100
1781102261.176366,YES,100,86,100,100,100
1781102261.257303,YES,100,89,100,100,100
1781102261.33817,YES,100,89,100,100,100
1781102261.4191282,YES,100,89,100,100,100
1781102261.5001528,YES,97,83,100,100,100
1781102261.5815468,YES,82,74,100,100,100
1781102262.5550606,YES,100,74,100,100,100
1781102262.6359284,YES,100,79,100,100,100
1781102262.7168097,YES,100,84,100,100,100
1781102262.7988963,YES,100,86,100,100,100
1781102262.8795106,YES,100,87,100,100,100
1781102262.9600465,YES,100,83,100,100,100
1781102263.0410712,YES,92,75,100,100,100
1781102264.0126886,YES,95,70,100,100,100
1781102264.0944464,YES,100,77,100,100,100
1781102264.1754155,YES,100,83,100,100,100
1781102264.255289,YES,100,87,100,100,100
1781102264.3363688,YES,100,90,100,100,100
1781102264.418398,YES,100,91,100,100,100
1781102264.4991832,YES,100,91,100,100,100
1781102264.580315,YES,100,86,100,100,100
1781102264.6623862,YES,92,74,100,100,100
1781102265.6334696,YES,100,72,100,100,100
1781102265.71525,YES,100,79,100,100,100
1781102265.796589,YES,100,84,100,100,100
1781102265.8766317,YES,100,87,100,100,100
1781102265.957918,YES,100,88,100,100,100
1781102266.0384927,YES,100,86,100,100,100
