timestamp,label,index,middle,ring,pinky,thumb
1781099024.0012264,REST,0,0,0,0,0
1781099024.0012264,REST,0,0,0,0,0
1781099024.0021932,REST,0,0,0,0,0
1781099024.0021932,REST,0,0,0,0,0
1781099024.0021932,REST,0,0,0,0,0
1781099024.0031867,REST,0,0,0,0,0
1781099024.0031867,REST,0,0,0,0,0
1781099024.0031867,REST,0,0,0,0,0
1781099024.0031867,REST,0,0,0,0,0
1781099024.0041864,REST,0,0,0,0,0
1781099024.0041864,REST,0,0,0,0,0
1781099024.0041864,REST,0,0,0,0,0
1781099024.0041864,REST,0,0,0,0,0
1781099024.0041864,REST,0,0,0,0,0
1781099024.0056942,REST,0,0,0,0,0
1781099024.0056942,REST,0,0,0,0,0
1781099024.0067024,REST,0,0,0,0,0
1781099024.0067024,REST,0,0,0,0,0
1781099024.0067024,REST,0,0,0,0,0
1781099024.007718,REST,0,0,0,0,0
1781099117.9826214,REST,0,0,0,0,0
1781099117.9826214,REST,0,0,0,0,0
1781099117.9826214,REST,0,0,0,0,0
1781099117.9826214,REST,0,0,0,0,0
1781099117.9836047,REST,0,0,0,0,0
1781099118.0530026,REST,0,0,0,0,0
1781099118.1347015,REST,0,0,0,0,0
1781099118.2157116,REST,0,0,0,0,0
1781099118.2972772,REST,0,0,0,0,0
1781099118.3781836,REST,0,0,0,0,0
1781099118.4592252,REST,0,0,0,0,0
1781099118.539633,REST,0,0,0,0,0
1781099118.6204267,REST,0,0,0,0,0
1781099118.7016747,REST,0,0,0,0,0
1781099118.7834332,REST,0,0,0,0,0
1781099118.8643138,REST,0,0,0,0,0
1781099118.945355,REST,0,0,0,0,0
1781099119.5926728,REST,0,0,0,0,0
1781099119.6742287,REST,0,0,0,0,0
1781099119.7540596,REST,0,0,0,0,0
1781099119.8364027,REST,0,0,0,0,0
1781099119.9169862,REST,0,0,0,0,0
1781099119.9980588,REST,0,0,0,0,0
1781099120.0790262,REST,0,0,0,0,0
1781099120.1599913,REST,0,0,0,0,0
1781099120.240784,REST,0,0,0,0,0
1781099120.321805,REST,0,0,0,0,0
1781099120.402806,REST,0,0,0,0,0
1781099120.4842885,REST,0,0,0,0,0
1781099120.5655766,REST,0,0,0,0,0
1781099120.6466436,REST,0,0,0,0,0
1781099121.1327734,REST,0,0,0,0,0
1781099121.2137737,REST,0,0,0,0,0
1781099121.2946975,REST,0,0,0,0,0
1781099121.3753414,REST,0,0,0,0,0
1781099121.4562547,REST,0,0,0,0,0
1781099121.5378222,REST,0,0,0,0,0
1781099121.6184068,REST,0,0,0,0,0
1781099121.6999795,REST,0,0,0,0,0
1781099121.7811406,REST,0,0,0,0,0
1781099121.861522,REST,0,0,0,0,0
1781099121.9430184,REST,0,0,0,0,0
1781099122.0239286,REST,0,0,0,0,0
1781099122.1039367,REST,0,0,0,0,0
1781099122.1855283,REST,0,0,0,0,0
1781099122.7525232,REST,0,0,0,0,0
1781099122.8330126,REST,0,0,0,0,0
1781099122.914416,REST,0,0,0,0,0
1781099122.995962,REST,0,0,0,0,0
1781099123.0763078,REST,0,0,0,0,0
1781099123.1570268,REST,0,0,0,0,0
1781099123.2395175,REST,0,0,0,0,0
1781099123.3196278,REST,0,0,0,0,0
1781099123.400641,REST,0,0,0,0,0
1781099123.481031,REST,0,0,0,0,0
1781099123.5631914,REST,0,0,0,0,0
1781099123.643831,REST,0,0,0,0,0
1781099123.724732,REST,0,0,0,0,0
1781099124.372252,REST,0,0,0,0,0
1781099124.4529622,REST,0,0,0,0,0
1781099124.5345223,REST,0,0,0,0,0
1781099124.61584,REST,0,0,0,0,0
1781099124.6970518,REST,0,0,0,0,0
1781099124.7773309,REST,0,0,0,0,0
