timestamp,label,index,middle,ring,pinky,thumb
1781101859.5833457,REST,0,0,0,100,100
1781101859.5833457,REST,0,0,0,88,100
1781101859.5833457,REST,0,0,0,100,100
1781101859.5843532,REST,0,0,0,100,100
1781101859.6235728,REST,0,0,0,100,100
1781101859.7043428,REST,0,0,0,100,100
1781101859.785465,REST,0,0,0,100,100
1781101859.866831,REST,0,0,0,100,100
1781101859.9470854,REST,0,0,0,100,100
1781101860.028429,REST,0,0,0,100,100
1781101860.109601,REST,0,0,0,100,100
1781101860.1905155,REST,0,0,0,100,98
1781101860.272075,REST,0,0,0,100,100
1781101860.352561,REST,0,0,0,100,96
1781101860.433537,REST,0,0,0,62,94
1781101860.514192,REST,0,0,0,0,92
1781101860.595307,REST,0,0,0,0,90
1781101860.675656,REST,0,0,0,0,92
1781101860.7571764,REST,0,0,0,0,92
1781101860.8377178,REST,0,0,0,0,94
1781101860.919637,REST,0,0,0,0,94
1781101861.0002775,REST,0,0,0,0,96
1781101861.0811768,REST,0,0,0,0,98
1781101861.1625874,REST,0,0,0,0,98
1781101861.2427247,REST,0,0,0,0,100
1781101861.3238778,REST,0,0,0,0,100
1781101861.404496,REST,0,0,0,0,100
1781101861.4866478,REST,0,0,0,85,100
1781101861.5671365,REST,0,0,0,100,100
1781101861.6479847,REST,0,0,0,100,100
1781101861.8905067,REST,0,0,0,100,100
1781101861.9714293,REST,0,0,0,100,100
1781101862.0536973,REST,0,0,0,59,100
1781101862.1345525,REST,0,0,0,0,100
1781101862.215343,REST,0,0,0,0,98
1781101862.296266,REST,0,0,0,0,98
1781101862.378053,REST,0,0,0,0,98
1781101862.4592268,REST,0,0,0,0,100
1781101862.5396419,REST,0,0,0,0,100
1781101862.6207693,REST,0,0,0,0,100
1781101862.702485,REST,0,0,0,0,100
1781101862.7827451,REST,0,0,0,0,100
1781101862.8645394,REST,0,0,0,0,100
1781101862.944492,REST,0,0,0,0,100
1781101863.0256553,REST,0,0,0,48,100
1781101863.106702,REST,0,0,0,96,100
1781101863.1875927,REST,0,0,0,100,100
1781101863.2693598,REST,0,0,0,100,100
1781101863.3503542,REST,0,0,0,100,100
1781101863.4310431,REST,0,0,0,100,100
1781101863.5119207,REST,0,0,0,100,100
1781101863.593013,REST,0,0,0,70,100
1781101863.674495,REST,0,0,0,0,100
1781101863.7546937,REST,0,0,0,0,100
1781101863.8364851,REST,0,0,0,0,100
1781101863.9175982,REST,0,0,0,0,100
1781101863.9972556,REST,0,0,0,0,100
1781101864.0792806,REST,0,0,0,0,98
1781101864.1596916,REST,0,0,0,0,98
1781101864.240451,REST,0,0,0,0,98
1781101864.3213935,REST,0,0,0,0,98
1781101864.402958,REST,0,0,0,0,98
1781101864.4839432,REST,0,0,0,0,100
1781101864.565297,REST,0,0,0,0,98
1781101864.645607,REST,0,0,0,77,100
1781101864.7271187,REST,0,0,0,100,100
1781101864.8083446,REST,0,0,0,100,100
1781101864.8886604,REST,0,0,0,100,100
1781101864.9704742,REST,0,0,0,100,98
1781101865.0518475,REST,0,0,0,100,100
1781101865.132687,REST,0,0,0,100,96
1781101865.213018,REST,0,0,0,74,94
1781101865.294395,REST,0,0,0,0,92
1781101865.3754659,REST,0,0,0,0,94
1781101865.4560008,REST,0,0,0,0,94
1781101865.5371675,REST,0,0,0,0,96
1781101865.6180503,REST,0,0,0,0,92
1781101865.699456,REST,0,0,0,0,94
1781101865.7799766,REST,0,0,0,0,96
1781101865.8606393,REST,0,0,0,0,96
1781101865.9418864,REST,0,0,0,0,98
1781101866.022631,REST,0,0,0,0,98
1781101866.1038764,REST,0,0,0,0,100
1781101866.184609,REST,0,0,0,0,100
1781101866.2662144,REST,0,0,0,77,100
1781101866.3472147,REST,0,0,0,100,100
1781101866.4278607,REST,0,0,0,100,100
1781101866.509425,REST,0,0,0,100,100
1781101866.5895863,REST,0,0,0,100,100
1781101866.6709979,REST,0,0,0,100,100
1781101866.7524493,REST,0,0,0,100,100
1781101866.8334937,REST,0,0,0,62,96
1781101866.9133759,REST,0,0,0,0,96
1781101866.994212,REST,0,0,0,0,98
1781101867.0765076,REST,0,0,0,0,96
1781101867.157385,REST,0,0,0,0,96
1781101867.2384114,REST,0,0,0,0,96
1781101867.3194025,REST,0,0,0,0,98
1781101867.399813,REST,0,0,0,0,98
1781101867.481441,REST,0,0,0,0,100
1781101867.562648,REST,0,0,0,0,100
1781101867.64455,REST,0,0,0,0,98
1781101867.7252114,REST,0,0,0,0,100
1781101867.8054245,REST,0,0,0,0,100
1781101867.8874102,REST,0,0,0,59,100
1781101867.9682477,REST,0,0,0,96,100
1781101868.0489628,REST,0,0,0,100,100
1781101868.1296144,REST,0,0,0,100,100
1781101868.2107892,REST,0,0,0,100,100
1781101868.2922287,REST,0,0,0,100,100
1781101868.3730955,REST,0,0,0,70,100
1781101868.4538703,REST,0,0,0,0,98
1781101868.5350842,REST,0,0,0,0,98
1781101868.615347,REST,0,0,0,0,98
1781101868.696355,REST,0,0,0,0,98
1781101868.778061,REST,0,0,0,0,100
1781101868.8583357,REST,0,0,0,0,100
1781101868.9395611,REST,0,0,0,0,100
1781101869.0208101,REST,0,0,0,0,100
1781101869.1023757,REST,0,0,0,0,98
1781101869.182986,REST,0,0,0,0,96
1781101869.2641063,REST,0,0,0,0,98
1781101869.345086,REST,0,0,0,0,98
1781101869.426021,REST,0,0,0,77,98
1781101869.506705,REST,0,0,0,100,98
