label,index,middle,ring
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,27,0,100
NAME,30,0,100
NAME,35,0,100
NAME,40,0,100
NAME,45,0,100
NAME,45,0,100
NAME,45,0,100
NAME,47,0,100
NAME,50,0,100
NAME,45,0,100
NAME,35,0,100
NAME,27,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,25,0,100
NAME,0,0,100
NAME,0,0,100
NAME,30,0,100
NAME,35,0,100
NAME,37,0,100
NAME,40,0,100
NAME,42,0,100
NAME,42,31,100
NAME,37,30,100
NAME,32,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,35,0,100
NAME,32,0,100
NAME,35,0,100
NAME,40,0,100
NAME,40,0,100
NAME,40,0,100
NAME,32,0,100
NAME,25,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,27,0,100
NAME,32,0,100
NAME,37,0,100
NAME,42,0,100
NAME,47,0,100
NAME,50,0,100
NAME,47,0,100
NAME,50,0,100
NAME,50,30,100
NAME,47,0,100
NAME,37,0,100
NAME,30,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
NAME,32,0,100
NAME,37,0,100
NAME,45,0,100
NAME,50,0,100
NAME,52,0,100
NAME,55,0,100
NAME,50,0,100
NAME,47,0,100
NAME,42,0,100
NAME,35,0,100
NAME,25,0,100
NAME,27,0,100
NAME,0,0,100
NAME,0,0,100
NAME,0,0,100
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
REST,0,0,0
WHERE,90,0,64
