label,index,middle,ring,pinky,thumb
A,0,100,100,0,50
A,0,100,100,0,47
A,0,100,100,0,47
A,0,100,99,0,45
A,0,100,99,0,39
A,0,100,98,0,37
A,0,87,98,0,34
A,0,53,98,0,32
A,0,42,98,0,31
B,0,87,100,0,83
B,0,79,100,0,80
B,0,75,100,0,81
B,0,68,100,0,78
B,0,68,100,0,80
B,0,61,100,0,78
B,0,55,100,0,81
B,0,57,100,0,85
B,0,57,100,0,81
B,0,64,100,0,81
B,0,61,100,0,80
B,0,72,100,0,80
B,0,74,100,0,80
B,0,77,100,0,81
B,0,90,100,0,80
B,0,96,100,0,75
B,0,100,100,0,77
B,0,100,100,0,75
B,0,100,100,0,77
B,0,100,100,0,75
B,0,100,100,0,80
B,0,100,100,0,78
B,0,98,100,0,78
B,0,85,100,0,78
B,0,83,100,0,78
B,0,74,100,0,78
B,0,74,100,0,73
B,0,75,100,0,75
B,0,77,100,0,73
B,0,74,100,0,73
B,0,77,100,0,73
B,0,77,100,0,73
B,0,79,100,0,77
B,0,88,100,0,78
B,0,90,100,0,80
B,0,92,100,0,83
B,0,94,100,0,86
B,0,96,100,0,86
B,0,90,100,0,86
B,0,94,100,0,88
B,0,92,100,0,86
B,0,87,100,0,86
B,0,88,100,0,85
B,0,77,100,0,85
B,0,72,100,0,83
B,0,74,100,0,83
B,0,61,100,0,81
B,0,57,100,0,83
B,0,70,100,0,78
B,0,68,100,0,80
B,0,74,100,0,81
B,0,72,100,0,85
B,0,72,100,0,86
B,0,81,100,0,83
B,0,90,100,0,83
B,0,96,100,0,81
B,0,100,100,0,80
B,0,100,100,0,80
B,0,98,100,0,80
B,0,100,100,0,75
B,0,96,100,0,75
B,0,100,100,0,75
B,0,100,100,0,72
B,0,100,100,0,72
B,0,100,100,0,72
B,0,98,100,0,73
B,0,96,100,0,75
B,0,96,100,0,75
B,0,94,100,0,77
B,0,98,100,0,80
B,0,98,100,0,78
B,0,92,100,0,75
B,0,96,100,0,77
B,0,83,100,0,77
B,0,90,100,0,78
B,0,88,100,0,78
B,0,92,100,0,80
B,0,90,100,0,80
B,0,88,100,0,80
B,0,83,100,0,80
B,0,85,100,0,80
B,0,79,100,0,81
B,0,77,100,0,81
B,0,81,100,0,80
B,0,77,100,0,78
B,0,81,100,0,80
B,0,79,100,0,80
B,0,81,100,0,78
B,0,81,100,0,80
B,0,83,100,0,80
B,0,81,100,0,81
B,0,90,100,0,81
B,0,88,100,0,81
B,0,87,100,0,85
B,0,87,100,0,85
B,0,81,100,0,85
B,0,85,100,0,83
B,0,83,100,0,81
B,0,83,100,0,80
B,0,87,100,0,77
B,0,88,100,0,73
B,0,85,100,0,72
B,0,90,100,0,75
B,0,90,100,0,70
B,0,85,100,0,72
B,0,96,100,0,72
B,0,92,100,0,70
B,0,94,100,0,75
B,0,85,100,0,73
B,0,83,100,0,75
B,0,83,100,0,75
B,0,83,100,0,78
B,0,75,100,0,77
B,0,75,100,0,78
B,0,81,100,0,80
B,0,81,100,0,80
B,0,77,100,0,83
B,0,79,100,0,80
B,0,81,100,0,81
B,0,72,100,0,81
B,0,74,100,0,86
B,0,72,100,0,83
B,0,74,100,0,86
B,0,74,100,0,88
B,0,70,100,0,88
B,0,62,100,0,90
B,0,62,100,0,90
B,0,61,100,0,90
B,0,68,100,0,90
B,0,81,100,0,91
B,0,79,100,0,88
B,0,75,100,0,86
B,0,75,100,0,85
B,0,81,100,0,81
B,0,87,100,0,80
B,0,94,100,0,80
B,0,96,100,0,77
B,0,96,100,0,80
B,0,100,100,0,81
B,0,98,100,0,78
B,0,100,100,0,78
B,0,100,100,0,80
B,0,100,100,0,81
B,0,100,100,0,80
B,0,92,100,0,81
B,0,81,100,0,77
B,0,81,100,0,80
B,0,81,100,0,78
B,0,77,100,0,78
B,0,75,100,0,80
B,0,72,100,0,83
B,0,77,100,0,86
B,0,79,100,0,81
B,0,85,100,0,86
B,0,88,100,0,88
B,0,96,100,0,91
B,0,96,100,0,91
B,0,98,100,0,93
B,0,92,100,0,90
