label,index,middle,ring,pinky,thumb
A,0,0,0,0,0
A,0,0,0,0,0
A,0,12,0,0,0
A,0,26,0,0,0
A,0,24,0,0,0
A,0,31,0,0,0
A,0,40,0,0,0
A,0,42,0,0,0
A,0,29,0,0,0
A,0,22,0,0,0
A,0,5,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,15,0,0,0
A,0,22,0,0,0
A,0,28,0,0,0
A,0,43,0,0,0
A,0,38,0,0,0
A,0,36,0,0,0
A,0,33,0,0,0
A,0,29,0,0,0
A,0,22,0,0,0
A,0,10,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,8,0,0,0
A,0,15,0,0,0
A,0,22,0,0,0
A,0,28,0,0,0
A,0,31,0,0,0
A,0,28,0,0,0
A,0,24,0,0,0
A,0,14,0,0,0
A,0,5,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,19,0,0,0
A,0,26,0,0,0
A,1,35,0,0,0
A,1,42,0,0,0
A,0,38,0,0,0
A,0,47,0,0,0
A,0,47,0,0,0
A,0,40,0,0,0
A,0,17,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,8,0,0,0
A,0,10,0,0,0
A,0,26,0,0,0
A,0,36,0,0,0
A,0,38,0,0,0
A,0,40,0,0,0
A,0,38,0,0,0
A,0,28,0,0,0
A,0,12,0,0,0
A,0,12,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,14,0,0,0
A,0,33,0,0,0
A,0,43,0,0,0
A,0,43,0,0,0
A,0,50,0,0,0
A,0,47,0,0,0
A,0,35,0,0,0
A,0,29,0,0,0
A,0,10,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,7,0,0,0
A,0,26,0,0,0
A,0,28,0,0,0
A,0,42,0,0,0
A,0,47,0,0,0
A,0,36,0,0,0
A,0,36,0,0,0
A,0,21,0,0,0
A,0,15,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,3,0,0,0
A,0,28,0,0,0
A,0,36,0,0,0
A,0,47,0,0,0
A,0,43,0,0,0
A,0,40,0,0,0
A,0,42,0,0,0
A,0,36,0,0,0
A,0,28,0,0,0
A,1,14,0,0,0
A,0,0,0,0,0
A,1,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,0,0,0,0
A,0,14,0,0,0
A,0,29,0,0,0
A,0,45,0,0,0
A,0,47,0,0,0
A,0,47,0,0,0
B,0,5,0,0,0
B,1,14,0,0,0
B,1,22,0,0,0
B,1,36,0,0,0
B,1,38,0,0,0
B,1,33,0,0,0
B,1,29,0,0,0
B,1,22,0,0,0
B,0,19,0,0,0
B,0,1,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,3,0,0,0
B,0,14,0,0,0
B,0,24,0,0,0
B,0,24,0,0,0
B,0,28,0,0,0
B,0,24,0,0,0
B,0,21,0,0,0
B,0,15,0,0,0
B,0,12,0,0,0
B,0,7,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,1,0,0,0,0
B,2,0,0,0,0
B,2,1,0,0,0
B,3,19,0,0,0
B,3,26,0,0,0
B,3,28,0,0,0
B,3,35,0,0,0
B,3,24,0,0,0
B,3,26,0,0,0
B,3,14,0,0,0
B,3,3,0,0,0
B,2,0,0,0,0
B,2,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,12,0,0,0
B,2,26,0,0,0
B,4,38,0,0,0
B,5,43,0,0,0
B,15,50,0,0,0
B,24,49,0,0,0
B,34,40,0,0,0
B,44,33,0,0,0
B,53,24,0,0,0
B,63,15,0,0,0
B,72,5,0,0,0
B,80,0,0,0,0
B,88,0,0,0,0
B,87,0,0,0,0
B,77,0,0,0,0
B,77,0,0,0,0
B,77,0,0,0,0
B,67,0,0,0,0
B,58,8,0,0,0
B,48,12,0,0,0
B,39,26,0,0,0
B,30,28,0,0,0
B,21,38,0,0,0
B,21,45,0,0,0
B,21,47,0,0,0
B,11,45,0,0,0
B,1,42,0,0,0
B,1,29,0,0,0
B,1,28,0,0,0
B,1,21,0,0,0
B,1,8,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,0,0,0,0,0
B,0,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,10,0,0,0
B,1,12,0,0,0
B,1,19,0,0,0
B,1,26,0,0,0
B,1,26,0,0,0
B,1,21,0,0,0
B,1,14,0,0,0
B,1,3,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
B,1,0,0,0,0
