label,index,middle,ring,pinky,thumb
A,100,100,100,100,34
A,100,100,100,76,33
A,97,100,100,52,32
A,92,100,100,0,34
A,92,100,100,0,34
A,100,100,100,0,35
A,100,100,100,0,35
A,97,100,100,0,35
A,100,100,100,0,35
A,100,100,100,0,34
A,100,100,100,0,34
A,100,100,100,70,36
A,100,100,100,98,41
A,100,100,100,100,42
A,100,100,100,100,42
A,100,100,100,100,41
A,100,100,100,100,40
A,100,100,100,100,41
A,100,100,100,100,38
A,100,100,100,100,35
A,92,100,96,96,36
A,90,100,100,68,37
A,85,100,93,45,41
A,88,100,96,0,37
A,95,98,100,0,36
A,92,98,96,0,34
A,95,100,96,0,37
A,100,100,100,0,36
A,97,100,96,0,34
A,100,100,100,0,34
A,100,100,100,49,35
A,100,100,100,76,36
A,100,100,100,100,35
A,100,100,100,100,34
A,100,100,100,100,31
A,100,100,100,100,31
A,100,100,100,100,30
A,100,100,100,100,32
A,100,100,100,100,28
A,95,100,100,100,27
A,90,100,100,100,27
A,90,100,100,86,0
A,88,100,100,66,25
A,90,98,100,0,26
A,85,95,100,0,26
A,95,95,100,0,25
A,100,96,100,0,29
A,97,99,100,0,30
A,100,100,100,0,29
A,100,100,100,0,28
A,100,100,100,49,31
A,100,100,100,78,34
A,100,100,100,100,33
A,100,100,100,100,35
A,100,100,100,100,34
A,100,100,100,100,34
A,100,100,100,100,35
A,100,100,100,100,35
A,95,100,100,100,33
A,92,100,100,100,31
A,85,100,100,100,30
A,85,100,100,84,31
A,85,95,100,60,28
A,83,92,100,0,28
A,85,90,100,0,31
A,90,90,100,0,34
A,97,91,100,0,35
A,100,94,100,0,37
A,100,95,100,0,37
A,100,96,100,45,40
A,100,100,100,62,37
A,100,100,100,88,41
A,100,100,100,100,45
A,100,100,100,100,46
A,100,100,100,100,48
A,100,100,100,100,47
A,100,100,100,100,47
A,100,100,100,100,45
A,100,100,100,100,42
A,100,100,100,100,38
A,100,100,100,100,36
A,97,100,100,70,34
A,95,99,100,49,35
A,95,98,100,0,33
A,92,96,100,0,31
A,95,96,100,0,31
A,88,98,100,0,31
A,85,99,100,0,32
A,80,100,93,0,33
A,90,100,96,0,34
A,92,100,100,45,36
A,100,100,100,74,40
A,100,100,100,100,41
A,100,100,100,100,42
A,100,100,100,100,43
A,100,100,93,100,46
A,100,100,87,100,46
A,92,100,93,100,44
A,95,100,90,100,42
A,92,100,87,100,43
A,90,100,93,100,38
A,83,100,96,86,38
A,88,100,100,64,38
A,90,100,100,49,38
A,88,100,100,0,40
A,92,100,100,0,42
A,90,100,100,0,42
A,90,100,100,0,40
A,90,100,100,0,41
A,95,100,100,50,43
A,95,100,100,68,44
A,95,100,100,94,44
A,97,100,100,100,46
A,97,100,100,100,46
A,95,100,100,100,47
A,95,100,100,100,45
A,88,100,100,100,45
A,80,100,100,100,44
A,80,100,100,100,41
A,78,100,100,90,41
A,78,100,100,64,38
A,78,100,100,0,36
A,76,97,100,0,37
A,76,96,100,0,37
A,88,98,96,0,36
A,97,98,100,0,34
A,100,100,96,0,33
A,97,100,96,0,32
A,100,100,96,0,30
A,100,100,96,45,29
A,100,100,100,74,31
A,100,100,100,100,34
A,100,100,100,100,36
A,100,100,100,100,36
A,100,100,100,100,35
A,100,100,100,100,31
A,100,100,100,100,32
A,100,100,100,100,34
A,95,100,100,100,32
A,97,100,100,100,32
A,95,100,100,76,33
A,95,99,100,49,35
A,95,95,100,0,36
A,95,95,100,0,36
A,90,97,100,0,36
A,92,100,100,0,37
A,97,100,100,0,40
A,100,100,100,0,43
A,100,100,100,0,42
A,100,100,100,54,40
A,100,100,100,76,42
A,100,100,100,100,41
A,100,100,100,100,41
A,100,100,100,100,37
A,100,100,100,100,38
A,100,100,100,100,37
A,100,100,100,100,35
A,100,100,100,100,33
A,90,100,93,100,32
A,88,100,87,88,31
A,85,100,93,62,30
A,90,100,93,0,30
A,95,100,96,0,29
A,92,99,100,0,31
A,88,100,100,0,30
A,92,100,100,0,31
A,90,100,96,0,32
A,95,100,100,0,30
