label,indexPercent,middlePercent,ringPercent
INDEX_BENT,100,0,0
INDEX_BENT,91,0,0
INDEX_BENT,100,0,0
INDEX_BENT,62,0,0
INDEX_BENT,100,0,0
INDEX_BENT,63,0,0
INDEX_BENT,100,0,0
INDEX_BENT,100,0,0
INDEX_BENT,100,0,0
INDEX_BENT,97,0,0
INDEX_BENT,93,0,0
INDEX_BENT,100,0,0
INDEX_BENT,60,0,0
INDEX_BENT,100,0,0
INDEX_BENT,100,0,0
INDEX_BENT,78,0,0
INDEX_BENT,100,0,0
INDEX_BENT,100,0,0
INDEX_BENT,100,0,0
INDEX_BENT,100,0,0
INDEX_BENT,64,0,0
INDEX_BENT,100,0,0
INDEX_BENT,100,0,0
INDEX_BENT,68,0,0
INDEX_BENT,100,0,0
INDEX_BENT,82,0,0
INDEX_BENT,100,0,0
INDEX_BENT,100,0,0
MIDDLE_BENT,0,61,0
MIDDLE_BENT,60,92,0
MIDDLE_BENT,97,77,35
MIDDLE_BENT,0,89,0
MIDDLE_BENT,100,100,0
MIDDLE_BENT,90,87,0
MIDDLE_BENT,100,74,0
MIDDLE_BENT,73,79,0
MIDDLE_BENT,100,76,0
MIDDLE_BENT,0,72,0
MIDDLE_BENT,100,90,0
MIDDLE_BENT,62,76,0
MIDDLE_BENT,100,78,0
MIDDLE_BENT,95,100,0
MIDDLE_BENT,63,100,0
MIDDLE_BENT,100,100,0
MIDDLE_BENT,0,97,0
MIDDLE_BENT,100,100,0
MIDDLE_BENT,79,100,0
MIDDLE_BENT,100,100,0
MIDDLE_BENT,100,97,0
MIDDLE_BENT,86,97,0
MIDDLE_BENT,90,93,0
MIDDLE_BENT,88,84,0
MIDDLE_BENT,94,86,0
MIDDLE_BENT,62,74,0
MIDDLE_BENT,100,76,0
MIDDLE_BENT,78,70,0
MIDDLE_BENT,100,74,0
MIDDLE_BENT,80,68,0
MIDDLE_BENT,100,79,0
MIDDLE_BENT,98,76,0
MIDDLE_BENT,95,67,0
MIDDLE_BENT,97,73,0
MIDDLE_BENT,93,63,0
MIDDLE_BENT,100,67,0
MIDDLE_BENT,63,60,0
MIDDLE_BENT,100,69,0
MIDDLE_BENT,74,62,0
MIDDLE_BENT,100,65,0
MIDDLE_BENT,74,61,0
MIDDLE_BENT,100,67,0
MIDDLE_BENT,100,66,0
MIDDLE_BENT,100,63,0
MIDDLE_BENT,85,60,0
MIDDLE_BENT,100,63,0
MIDDLE_BENT,97,100,0
MIDDLE_BENT,89,100,0
MIDDLE_BENT,90,100,0
MIDDLE_BENT,96,83,0
MIDDLE_BENT,0,83,0
MIDDLE_BENT,95,79,0
MIDDLE_BENT,0,75,0
MIDDLE_BENT,100,73,0
MIDDLE_BENT,0,66,0
MIDDLE_BENT,100,81,0
MIDDLE_BENT,0,73,0
MIDDLE_BENT,93,68,0
MIDDLE_BENT,94,62,0
MIDDLE_BENT,100,69,0
MIDDLE_BENT,89,62,0
MIDDLE_BENT,100,63,0
MIDDLE_BENT,88,61,0
MIDDLE_BENT,71,63,0
MIDDLE_BENT,96,66,0
MIDDLE_BENT,95,63,0
MIDDLE_BENT,0,76,0
MIDDLE_BENT,100,67,0
MIDDLE_BENT,0,65,0
MIDDLE_BENT,98,71,0
MIDDLE_BENT,77,68,0
MIDDLE_BENT,100,73,0
MIDDLE_BENT,0,62,0
MIDDLE_BENT,100,79,0
MIDDLE_BENT,100,70,0
MIDDLE_BENT,86,66,0
MIDDLE_BENT,100,87,0
MIDDLE_BENT,100,80,0
MIDDLE_BENT,100,84,0
MIDDLE_BENT,88,62,0
MIDDLE_BENT,100,69,0
MIDDLE_BENT,96,65,0
MIDDLE_BENT,100,64,0
MIDDLE_BENT,100,60,0
MIDDLE_BENT,91,74,0
MIDDLE_BENT,0,66,41
MIDDLE_BENT,100,60,0
MIDDLE_BENT,100,81,37
MIDDLE_BENT,100,78,0
MIDDLE_BENT,100,77,0
MIDDLE_BENT,100,88,0
MIDDLE_BENT,79,84,0
MIDDLE_BENT,87,82,0
MIDDLE_BENT,87,67,0
MIDDLE_BENT,100,70,0
MIDDLE_BENT,100,70,0
MIDDLE_BENT,82,100,40
MIDDLE_BENT,78,98,39
MIDDLE_BENT,100,100,35
MIDDLE_BENT,0,92,0
MIDDLE_BENT,100,96,0
MIDDLE_BENT,60,82,0
MIDDLE_BENT,100,94,0
MIDDLE_BENT,86,74,0
MIDDLE_BENT,100,74,0
MIDDLE_BENT,93,60,0
MIDDLE_BENT,100,68,0
MIDDLE_BENT,68,67,0
