timestamp,index,middle,ring,pinky,thumb,label,phrase
2026-06-07T16:22:19,0,0,0,0,0,REST,
2026-06-07T16:22:34,0,0,0,0,0,REST,
2026-06-07T16:22:35,0,0,0,0,0,REST,
2026-06-07T16:23:24,0,0,0,0,0,REST,
2026-06-07T16:25:00,0,0,0,0,0,REST,
2026-06-07T16:25:03,0,0,0,0,0,REST,
2026-06-07T16:25:05,0,0,0,0,0,REST,
2026-06-07T16:25:10,0,0,0,0,0,REST,
2026-06-07T16:25:12,0,0,0,0,0,REST,
2026-06-07T16:25:13,0,0,0,0,0,REST,
2026-06-07T16:25:20,0,0,0,0,0,REST,
2026-06-07T16:25:22,0,0,0,0,0,REST,
2026-06-07T16:25:23,0,0,0,0,0,REST,
2026-06-07T16:25:25,0,0,0,0,0,REST,
2026-06-07T16:25:27,0,0,0,0,0,REST,
2026-06-07T16:25:28,0,0,0,0,0,REST,
2026-06-07T16:27:58,0,0,0,0,100,REST,
2026-06-07T16:27:59,0,0,0,0,100,REST,
2026-06-07T16:28:00,0,0,0,0,100,REST,
2026-06-07T16:28:02,0,0,0,0,100,REST,
2026-06-07T16:28:03,0,0,0,0,100,REST,
2026-06-07T16:28:04,0,0,0,0,0,REST,
2026-06-07T16:28:04,0,0,0,0,100,REST,
2026-06-07T16:28:05,0,0,0,0,100,REST,
2026-06-07T16:28:06,0,0,0,0,100,REST,
2026-06-07T16:28:07,0,0,0,0,100,REST,
2026-06-07T16:28:08,0,0,0,0,100,REST,
2026-06-07T16:28:09,0,0,0,0,100,REST,
2026-06-07T16:28:10,0,0,0,0,100,REST,
2026-06-07T16:28:11,0,0,0,0,100,REST,
2026-06-07T16:28:12,0,0,0,0,100,REST,
2026-06-07T16:28:13,0,0,0,0,100,REST,
2026-06-07T16:28:14,0,0,0,0,0,REST,
2026-06-07T16:28:14,0,0,0,0,100,REST,
2026-06-07T16:28:15,0,0,0,0,100,REST,
2026-06-07T16:28:16,0,0,0,0,100,REST,
2026-06-07T16:28:17,0,0,0,0,100,REST,
2026-06-07T16:28:18,0,0,0,0,100,REST,
2026-06-07T16:28:19,0,0,0,0,100,REST,
2026-06-07T16:28:20,0,0,0,0,100,REST,
2026-06-07T16:28:21,0,0,0,0,100,REST,
2026-06-07T16:28:22,0,0,0,0,100,REST,
2026-06-07T16:28:23,0,0,0,0,100,REST,
2026-06-07T16:28:24,0,0,0,0,100,REST,
