1839,1839,100,1985,1988,0
1840,1840,98,1996,1987,0
1829,1841,97,1958,1980,2
1839,1841,97,1990,1981,1
1832,1841,97,1992,1982,1
1847,1841,97,1980,1983,0
1842,1838,100,1966,1972,6
1875,1843,94,1981,1977,3
1872,1846,90,1957,1976,4
1865,1847,88,1962,1973,5
1874,1849,85,1964,1963,11
1871,1856,76,1982,1968,8
1733,1746,100,1968,1967,9
1798,1749,100,1960,1974,5
1744,1745,100,1975,1979,2
1739,1738,100,1949,1978,3
1804,1730,100,1959,1971,7
1745,1728,100,1950,1971,7
1768,1787,100,1991,1987,0
1803,1786,100,1992,1987,0
1780,1786,100,1987,1987,0
1780,1782,100,1984,1986,0
1810,1783,100,1978,1985,0
1792,1784,100,1957,1981,1
1839,1834,100,1969,1962,11
1827,1835,100,1976,1962,11
1833,1835,100,1946,1959,13
1839,1836,100,1967,1958,14
1855,1838,100,1995,1961,12
1866,1841,97,2005,1966,9
